"occupancyRatio","log_price","accommodates","cleaning_fee","host_has_profile_pic","host_identity_verified","instant_bookable","latitude","longitude","number_of_reviews","age","hostAge","Wireless.Internet","Kitchen","Heating","Essentials","Air.conditioning","Smoke.detector","TV","Hangers","Shampoo","Manhattan","Central.Park","Times.Square","New.York.City","Prospect.Park","East.Village","Broadway","private","apartment","apt","cozy","br","spacious","studio","brooklyn","apartment.1","bedroom.1","kitchen","bed","walk","private.1","park.1"
0.0666666666666667,5.01063529409626,3,1,1,1,0,40.6965236299708,-73.9916168462426,2,30,1575,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
0.122448979591837,5.12989871492307,7,1,1,0,1,40.7661154159497,-73.9890399226521,6,49,96,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
0.072992700729927,4.97673374242057,5,1,1,1,1,40.8081099893621,-73.943755843958,10,137,324,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0632228218966847,4.60517018598809,2,1,1,1,0,40.7238832716268,-73.9838804256902,82,1297,1329,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
0.0586907449209932,4.88280192258637,2,1,1,1,0,40.7190862955511,-73.9902848543176,26,443,483,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
0.106382978723404,4.59511985013459,8,1,1,0,1,40.6437726150665,-73.9508546556289,5,47,129,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
0.0799438990182328,3.68887945411394,2,1,1,1,0,40.6562777598639,-73.9226454606154,57,713,1122,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0765027322404372,5.00394630594546,6,1,1,1,0,40.6920572758596,-73.7454637535906,14,183,257,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
0.0579710144927536,5.00394630594546,4,1,1,0,0,40.7301448700259,-73.851542038592,4,69,473,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.0776699029126214,4.65396035015752,3,1,1,0,0,40.750354505018,-73.9808276426708,40,515,529,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
